iter	Passed	Remaining
319	902	1917
320	905	1914
321	907	1911
322	910	1908
323	914	1908
324	917	1905
325	919	1901
326	922	1898
327	924	1894
328	927	1892
329	930	1889
330	933	1885
331	935	1882
332	937	1878
333	942	1879
334	945	1875
335	947	1872
336	949	1868
337	952	1866
338	956	1865
339	959	1862
340	961	1858
341	964	1855
342	966	1851
343	971	1852
344	973	1848
345	976	1845
346	978	1841
347	981	1838
348	985	1837
349	988	1835
350	990	1832
351	993	1828
352	995	1824
353	998	1822
354	1001	1819
355	1003	1815
356	1006	1813
357	1008	1809
358	1011	1806
359	1015	1804
360	1017	1801
361	1019	1797
362	1022	1794
363	1025	1791
364	1028	1789
365	1030	1785
366	1033	1782
367	1036	1779
368	1038	1775
369	1042	1775
370	1045	1772
371	1047	1768
372	1050	1765
373	1052	1762
374	1056	1760
375	1058	1757
376	1061	1753
377	1063	1750
378	1066	1747
379	1069	1744
380	1072	1742
381	1074	1738
382	1077	1735
383	1079	1731
384	1081	1727
385	1084	1725
386	1087	1723
387	1090	1719
388	1093	1717
389	1096	1715
390	1100	1713
391	1102	1709
392	1104	1706
393	1107	1703
394	1109	1699
395	1113	1697
396	1115	1694
397	1118	1691
398	1120	1688
399	1123	1684
400	1127	1684
401	1130	1681
402	1133	1678
403	1135	1675
404	1137	1671
405	1141	1669
406	1143	1666
407	1146	1663
408	1148	1659
409	1150	1656
410	1155	1655
411	1157	1652
412	1160	1649
413	1162	1645
414	1164	1642
415	1169	1641
416	1171	1638
417	1174	1635
418	1176	1631
419	1179	1628
420	1182	1626
421	1186	1625
422	1188	1621
423	1191	1618
424	1193	1615
425	1198	1614
426	1201	1612
427	1204	1609
428	1206	1605
429	1209	1602
430	1213	1601
431	1216	1598
432	1218	1595
433	1220	1592
434	1224	1589
435	1228	1589
436	1231	1586
437	1233	1583
438	1236	1579
439	1240	1578
440	1243	1576
441	1246	1573
442	1248	1570
443	1251	1566
444	1255	1565
445	1258	1563
446	1261	1560
447	1263	1557
448	1266	1553
449	1269	1551
450	1271	1547
451	1274	1544
452	1275	1540
453	1278	1537
454	1280	1534
455	1284	1531
456	1286	1528
457	1289	1525
458	1291	1522
459	1294	1519
460	1297	1517
461	1300	1514
462	1303	1511
463	1305	1508
464	1308	1505
465	1312	1504
466	1315	1500
467	1317	1497
468	1319	1494
469	1323	1492
470	1326	1489
471	1328	1486
472	1330	1482
473	1333	1479
474	1335	1476
475	1339	1474
476	1342	1471
477	1343	1467
478	1346	1464
479	1348	1460
480	1350	1457
481	1354	1455
482	1356	1452
483	1359	1449
484	1361	1445
485	1364	1443
486	1367	1440
487	1370	1437
488	1372	1434
489	1375	1431
490	1378	1428
491	1380	1425
492	1383	1423
493	1386	1419
494	1388	1416
495	1390	1413
496	1393	1410
497	1397	1408
498	1399	1405
499	1401	1401
500	1404	1398
501	1406	1395
502	1409	1393
503	1412	1390
504	1415	1387
505	1417	1383
506	1419	1380
507	1422	1377
508	1427	1376
509	1430	1374
510	1432	1370
511	1436	1368
512	1439	1366
513	1441	1363
514	1444	1360
515	1446	1356
516	1449	1353
517	1452	1351
518	1455	1348
519	1457	1345
520	1460	1342
521	1462	1339
522	1465	1336
523	1468	1334
524	1471	1331
525	1473	1328
526	1476	1324
527	1478	1321
528	1482	1320
529	1485	1317
530	1487	1314
531	1490	1310
532	1492	1307
533	1495	1305
534	1498	1302
535	1501	1299
536	1503	1296
537	1506	1293
538	1510	1291
539	1512	1288
540	1515	1285
541	1518	1282
542	1521	1280
543	1525	1278
544	1527	1275
545	1529	1272
546	1532	1269
547	1535	1266
548	1539	1264
549	1542	1262
550	1544	1258
551	1547	1255
552	1550	1252
553	1553	1250
554	1555	1247
555	1558	1244
556	1561	1241
557	1564	1238
558	1568	1237
559	1570	1234
560	1573	1231
561	1575	1228
562	1579	1225
563	1582	1223
564	1585	1220
565	1587	1217
566	1590	1214
567	1593	1211
568	1596	1209
569	1599	1206
570	1601	1203
571	1604	1200
572	1606	1197
573	1610	1194
574	1612	1191
575	1615	1188
576	1617	1185
577	1620	1183
578	1623	1180
579	1626	1177
580	1628	1174
581	1631	1171
582	1634	1169
583	1638	1167
584	1641	1164
585	1643	1161
586	1646	1158
587	1648	1155
588	1651	1152
589	1654	1149
590	1656	1146
591	1659	1143
592	1661	1140
593	1665	1138
594	1668	1135
595	1670	1132
596	1673	1129
597	1676	1127
598	1680	1125
599	1683	1122
600	1686	1119
601	1689	1116
602	1693	1115
603	1697	1112
604	1701	1110
605	1703	1107
606	1708	1106
607	1711	1103
608	1714	1100
609	1717	1098
610	1721	1096
611	1725	1094
612	1728	1091
613	1730	1088
614	1733	1085
615	1736	1082
616	1740	1080
617	1742	1077
618	1745	1074
619	1748	1071
620	1752	1069
621	1755	1067
622	1758	1064
623	1761	1061
624	1765	1059
625	1768	1056
626	1771	1054
627	1774	1051
628	1777	1048
629	1781	1046
630	1784	1043
631	1786	1040
632	1789	1037
633	1791	1034
634	1795	1032
635	1798	1029
636	1801	1026
637	1803	1023
638	1806	1020
639	1811	1018
640	1814	1016
641	1816	1013
642	1819	1010
643	1824	1008
644	1827	1005
645	1829	1002
646	1832	999
647	1834	996
648	1838	994
649	1840	991
650	1843	988
651	1845	985
652	1848	982
653	1852	979
654	1854	976
655	1856	973
656	1859	970
657	1862	967
658	1865	965
659	1868	962
660	1870	959
661	1873	956
662	1875	953
663	1877	950
664	1881	948
665	1884	944
666	1886	941
667	1889	938
668	1891	935
669	1894	933
670	1897	930
671	1899	927
672	1902	924
673	1904	921
674	1907	918
675	1910	915
676	1913	912
677	1915	909
678	1918	906
679	1920	903
680	1923	901
681	1925	897
682	1928	895
683	1931	892
684	1933	889
685	1937	886
686	1940	883
687	1942	880
688	1945	878
689	1947	875
690	1950	872
691	1953	869
692	1955	866
693	1958	863
694	1961	860
695	1964	857
696	1967	855
697	1970	852
698	1972	849
699	1974	846
700	1978	843
701	1981	841
702	1984	838
703	1987	835
704	1990	832
705	1994	830
706	1997	827
707	1999	824
708	2002	821
709	2005	819
710	2009	816
711	2012	813
712	2015	811
713	2017	808
714	2020	805
715	2024	803
716	2027	800
717	2029	797
718	2032	794
719	2038	792
720	2040	789
721	2043	786
722	2045	783
723	2048	780
724	2053	779
725	2056	776
726	2058	773
727	2061	770
728	2064	767
729	2068	764
730	2070	762
731	2073	759
732	2076	756
733	2080	753
734	2083	751
735	2086	748
736	2088	745
737	2090	742
738	2094	739
739	2097	736
740	2099	733
741	2102	731
742	2106	728
743	2110	726
744	2113	723
745	2115	720
746	2118	717
747	2120	714
748	2124	711
749	2126	708
750	2129	705
751	2131	702
752	2133	699
753	2136	697
754	2139	694
755	2142	691
756	2144	688
757	2147	685
758	2151	683
759	2154	680
760	2156	677
761	2158	674
762	2160	671
763	2163	668
764	2167	665
765	2169	662
766	2171	659
767	2174	656
768	2176	653
769	2179	651
770	2182	648
771	2185	645
772	2187	642
773	2190	639
774	2194	637
775	2197	634
776	2199	631
777	2202	628
778	2204	625
779	2207	622
780	2210	619
781	2212	616
782	2215	613
783	2217	610
784	2219	607
785	2224	605
786	2226	602
787	2229	599
788	2231	596
789	2234	594
790	2237	591
791	2240	588
792	2242	585
793	2245	582
794	2248	579
795	2252	577
796	2255	574
797	2257	571
798	2260	568
799	2262	565
800	2265	562
801	2268	560
802	2270	557
803	2273	554
804	2275	551
805	2278	548
806	2281	545
807	2284	542
808	2286	539
809	2288	536
810	2291	534
811	2295	531
812	2297	528
813	2300	525
814	2303	522
815	2307	520
816	2310	517
817	2313	514
818	2315	511
819	2318	508
820	2321	506
821	2323	503
822	2326	500
823	2329	497
824	2332	494
825	2335	491
826	2338	489
827	2341	486
828	2344	483
829	2346	480
830	2350	478
831	2353	475
832	2356	472
833	2358	469
834	2360	466
835	2363	463
836	2367	461
837	2369	458
838	2372	455
839	2375	452
840	2378	449
841	2381	446
842	2383	443
843	2386	441
844	2388	438
845	2391	435
846	2395	432
847	2397	429
848	2400	426
849	2403	424
850	2405	421
851	2409	418
852	2411	415
853	2414	412
854	2416	409
855	2419	406
856	2424	404
857	2426	401
858	2428	398
859	2431	395
860	2433	392
861	2437	390
862	2440	387
863	2442	384
864	2445	381
865	2449	379
866	2453	376
867	2456	373
868	2459	370
869	2461	367
870	2465	365
871	2467	362
872	2470	359
873	2472	356
874	2475	353
875	2479	350
876	2482	348
877	2485	345
878	2489	342
879	2495	340
880	2497	337
881	2501	334
882	2504	331
883	2509	329
884	2511	326
885	2514	323
886	2516	320
887	2518	317
888	2521	314
889	2524	311
890	2526	309
891	2529	306
892	2532	303
893	2534	300
894	2536	297
895	2540	294
896	2542	291
897	2546	289
898	2548	286
899	2550	283
900	2553	280
901	2555	277
902	2557	274
903	2560	271
904	2562	269
905	2565	266
906	2567	263
907	2571	260
908	2573	257
909	2576	254
910	2578	251
911	2580	249
912	2582	246
913	2586	243
914	2588	240
915	2591	237
916	2593	234
917	2595	231
918	2598	229
919	2601	226
920	2604	223
921	2606	220
922	2608	217
923	2611	214
924	2613	211
925	2616	209
926	2619	206
927	2621	203
928	2623	200
929	2626	197
930	2628	194
931	2632	192
932	2635	189
933	2637	186
934	2640	183
935	2643	180
936	2645	177
937	2649	175
938	2651	172
939	2654	169
940	2656	166
941	2659	163
942	2661	160
943	2664	158
944	2666	155
945	2668	152
946	2670	149
947	2672	146
948	2674	143
949	2677	140
950	2680	138
951	2682	135
952	2684	132
953	2687	129
954	2689	126
955	2691	123
956	2694	121
957	2696	118
958	2698	115
959	2700	112
960	2703	109
961	2705	106
962	2707	104
963	2709	101
964	2711	98
965	2714	95
966	2716	92
967	2718	89
968	2720	87
969	2722	84
970	2724	81
971	2727	78
972	2729	75
973	2731	72
974	2733	70
975	2735	67
976	2737	64
977	2739	61
978	2741	58
979	2743	55
980	2745	53
981	2747	50
982	2750	47
983	2752	44
984	2754	41
985	2756	39
986	2758	36
987	2760	33
988	2762	30
989	2764	27
990	2767	25
991	2769	22
992	2771	19
993	2773	16
994	2775	13
995	2777	11
996	2779	8
997	2781	5
998	2783	2
999	2785	0
5	2
999	2857	0
